test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
4,6,0.954,1.065,0.743,0.662,0.9,1.059,0.708,0.504,0.986,1.107,0.768,7.375,0.986,1.107,0.768,7.357
7,6,0.933,1.063,0.716,0.828,0.894,1.062,0.698,0.868,0.989,1.053,0.814,3.346,0.988,1.049,0.81,3.402
10,6,0.943,1.067,0.721,0.981,0.925,1.063,0.708,1.163,0.989,1.056,0.81,3.805,0.99,1.055,0.808,3.502
13,6,0.955,1.067,0.725,1.326,0.901,1.064,0.7,1.272,0.956,1.049,0.807,4.515,0.991,1.056,0.809,4.487
16,6,0.945,1.066,0.712,1.743,0.905,1.063,0.709,1.751,0.943,1.055,0.812,5.257,0.999,1.055,0.809,5.365
test07,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,7,0.739,1.073,0.591,0.492,0.706,1.069,0.573,0.392,0.849,1.123,0.643,6.366,0.849,1.123,0.643,6.342
4,7,0.786,1.064,0.685,0.737,0.801,1.056,0.685,0.768,0.924,1.115,0.767,7.682,0.924,1.115,0.767,7.696
7,7,0.764,1.053,0.639,1.016,0.796,1.058,0.647,0.928,0.927,1.057,0.805,3.367,0.904,1.062,0.791,3.382
10,7,0.742,1.051,0.626,1.009,0.801,1.059,0.642,1.213,0.886,1.059,0.78,4.652,0.874,1.053,0.801,6.611
13,7,0.71,1.047,0.654,1.787,0.743,1.055,0.632,1.995,0.871,1.048,0.81,5.281,0.769,1.048,0.781,7.731
16,7,0.711,1.05,0.651,2.548,0.731,1.052,0.625,2.166,0.84,1.049,0.775,6.344,0.814,1.053,0.799,6.547
test08,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,8,0.308,1.044,0.389,0.272,0.293,1.044,0.382,0.255,0.326,1.126,0.305,0.88,0.326,1.126,0.305,0.942
