test01,,,,,,,,,
,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time
35,7,0.978,1.048,0.766,5.788,0.967,1.041,0.765,5.842
40,7,0.995,1.038,0.808,4.204,0.935,1.031,0.776,4.252
45,7,0.995,1.041,0.826,5.012,0.931,1.027,0.77,5.014
50,7,0.978,1.037,0.809,5.937,0.937,1.03,0.765,5.968
test08,,,,,,,,,
,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time
5,8,0.453,1.123,0.326,8.374,0.453,1.123,0.326,8.33
10,8,0.777,0.985,0.803,3.38,0.724,1.024,0.728,3.455
15,8,0.872,1.04,0.779,4.412,0.815,1.032,0.773,4.348
20,8,0.919,1.043,0.777,5.76,0.87,1.043,0.793,5.745
25,8,0.916,1.029,0.86,3.916,0.881,1.026,0.807,4.015
30,8,0.912,1.033,0.786,4.733,0.875,1.027,0.78,4.795
35,8,0.946,1.036,0.849,5.702,0.911,1.023,0.761,5.781
40,8,0.916,1.025,0.798,4.388,0.872,1.014,0.787,4.258
45,8,0.899,1.019,0.794,4.964,0.856,1.009,0.777,5.094
50,8,0.914,1.022,0.804,5.989,0.849,1.013,0.789,5.89
test09,,,,,,,,,
,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time
5,9,0.752,1.123,0.62,8.841,0.752,1.123,0.62,8.772
10,9,0.832,1.062,0.799,3.246,0.809,1.047,0.812,3.292
15,9,0.845,1.056,0.813,4.11,0.844,1.061,0.802,4.301
20,9,0.791,1.049,0.794,5.501,0.817,1.052,0.794,5.542
25,9,0.791,1.038,0.856,4.022,0.808,1.033,0.868,3.969
30,9,0.671,0.991,0.849,4.879,0.829,1.037,0.798,4.666
35,9,0.685,1.01,0.728,6.121,0.823,1.042,0.768,5.672
40,9,0.722,1.007,0.819,4.341,0.813,1.018,0.757,4.213
45,9,0.721,1.006,0.775,4.978,0.822,1.021,0.773,4.991
50,9,0.542,0.975,0.799,6.242,0.798,1.027,0.79,6.254
test10,,,,,,,,,
,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time
5,10,0.926,1.114,0.74,7.407,0.926,1.114,0.74,7.39
10,10,0.889,1.044,0.795,3.36,0.826,1.013,0.762,3.397
15,10,0.887,1.057,0.801,4.22,0.873,1.056,0.784,4.185
20,10,0.938,1.06,0.782,5.707,0.885,1.057,0.793,6.879
25,10,0.862,1.019,0.76,4.186,0.917,1.04,0.819,3.876
30,10,0.907,1.038,0.758,4.833,0.947,1.047,0.769,4.805
35,10,0.904,1.037,0.799,5.953,0.942,1.038,0.849,5.88
40,10,0.832,0.996,0.729,4.363,0.911,1.033,0.853,4.254
45,10,0.926,1.027,0.774,5.117,0.931,1.029,0.791,5.068
50,10,0.881,1.009,0.797,6.164,0.935,1.031,0.785,5.833
overall mean,,,,,,,,,
,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time
1,  all,0.701,1.116,0.561,5.647,0.701,1.116,0.561,5.555
2,  all,0.717,1.116,0.577,5.86,0.717,1.116,0.577,5.849
3,  all,0.735,1.117,0.587,6.478,0.735,1.117,0.587,6.498
4,  all,0.746,1.116,0.602,7.276,0.746,1.116,0.602,7.229
5,  all,0.751,1.116,0.606,7.916,0.751,1.116,0.606,8.093
6,  all,0.733,1.044,0.676,2.259,0.729,1.044,0.676,2.624
7,  all,0.74,1.03,0.707,3.196,0.738,1.032,0.705,3.023
8,  all,0.744,1.025,0.714,3.087,0.741,1.027,0.732,3.037
9,  all,0.762,1.028,0.727,3.252,0.751,1.028,0.756,3.171
10,  all,0.774,1.025,0.739,3.411,0.783,1.033,0.773,3.35
11,  all,0.778,1.026,0.737,3.567,0.794,1.037,0.784,3.537
12,  all,0.78,1.03,0.747,3.725,0.8,1.046,0.793,3.74
13,  all,0.793,1.03,0.746,3.921,0.809,1.048,0.793,3.92
14,  all,0.793,1.032,0.748,4.164,0.811,1.049,0.791,4.146
15,  all,0.808,1.033,0.75,4.518,0.81,1.049,0.783,4.424
16,  all,0.805,1.032,0.744,4.749,0.815,1.047,0.787,4.611
17,  all,0.816,1.034,0.75,4.934,0.812,1.045,0.796,4.804
18,  all,0.819,1.038,0.742,5.217,0.815,1.046,0.788,5.1
19,  all,0.824,1.038,0.75,5.475,0.821,1.048,0.792,5.477
20,  all,0.83,1.043,0.744,5.834,0.831,1.051,0.788,5.941
21,  all,0.82,1.022,0.768,3.686,0.833,1.033,0.799,3.55
22,  all,0.816,1.017,0.781,3.67,0.823,1.033,0.799,3.626
23,  all,0.814,1.016,0.768,3.799,0.821,1.031,0.815,3.747
24,  all,0.808,1.011,0.78,3.948,0.822,1.031,0.819,3.898
25,  all,0.806,1.012,0.811,4.1,0.815,1.026,0.806,4.043
26,  all,0.804,1.013,0.76,4.23,0.827,1.028,0.808,4.179
27,  all,0.793,1.007,0.777,4.399,0.836,1.032,0.789,4.417
28,  all,0.809,1.013,0.76,4.654,0.84,1.032,0.804,4.537
29,  all,0.808,1.012,0.77,4.892,0.841,1.032,0.798,85.583
30,  all,0.813,1.012,0.754,5.507,0.84,1.031,0.786,4.973
31,  all,0.82,1.013,0.741,5.298,0.84,1.029,0.787,5.164
32,  all,0.822,1.013,0.753,5.392,0.842,1.031,0.793,5.315
33,  all,0.822,1.013,0.765,5.716,0.843,1.032,0.793,5.565
34,  all,0.822,1.018,0.74,5.854,0.845,1.031,0.784,5.666
35,  all,0.82,1.016,0.749,6.061,0.84,1.031,0.797,6.001
36,  all,0.812,0.999,0.755,3.855,0.836,1.021,0.791,3.795
37,  all,0.812,1.003,0.779,4.013,0.83,1.021,0.792,4.065
38,  all,0.813,1.001,0.761,4.129,0.823,1.02,0.795,4.059
39,  all,0.81,1.001,0.774,4.211,0.813,1.018,0.789,4.194
40,  all,0.808,0.999,0.763,4.364,0.795,1.01,0.783,4.344
41,  all,0.811,1,0.755,4.496,0.796,1.007,0.795,4.523
42,  all,0.81,1.003,0.762,4.677,0.8,1.008,0.776,4.67
43,  all,0.811,1.002,0.747,4.815,0.813,1.017,0.797,4.882
44,  all,0.811,1.004,0.759,5.064,0.814,1.015,0.778,4.969
45,  all,0.814,1.003,0.757,5.138,0.813,1.014,0.775,5.128
46,  all,0.806,0.999,0.761,5.343,0.817,1.016,0.788,5.376
47,  all,0.814,1.002,0.781,5.461,0.817,1.013,0.789,5.485
48,  all,0.798,0.999,0.762,5.726,0.817,1.017,0.796,5.797
49,  all,0.795,1,0.75,5.895,0.818,1.016,0.792,5.932
50,  all,0.791,1,0.75,6.133,0.821,1.017,0.786,6.192
