test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
4,6,0.795,1.066,0.673,0.651,0.862,1.077,0.74,0.614,0.998,1.115,0.775,7.656,0.998,1.115,0.775,7.989
7,6,0.771,1.065,0.631,1.155,0.832,1.069,0.745,0.913,0.877,1.064,0.823,3.512,0.923,1.064,0.799,3.993
10,6,0.876,1.065,0.73,1.13,0.802,1.059,0.711,0.95,0.879,1.05,0.814,3.736,0.963,1.064,0.819,3.962
13,6,0.928,1.071,0.723,1.059,0.833,1.064,0.726,1.139,0.889,1.056,0.831,3.427,0.965,1.072,0.811,3.409
16,6,0.96,1.077,0.757,1.363,0.842,1.067,0.657,1.139,0.867,1.049,0.791,4.087,0.96,1.066,0.811,4.039
test07,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,7,0.217,1.042,0.379,0.172,0.206,1.043,0.377,0.171,0.235,1.129,0.309,5.583,0.235,1.129,0.309,5.593
4,7,0.199,0.997,0.5,0.41,0.205,1.001,0.448,0.43,0.25,1.132,0.299,6.912,0.25,1.132,0.299,7.733
7,7,0.2,0.992,0.433,0.616,0.179,0.989,0.484,0.67,0.196,0.983,0.373,1.169,0.199,0.983,0.385,0.933
10,7,0.191,0.989,0.457,0.719,0.185,0.993,0.415,0.716,0.159,0.933,0.416,3.442,0.16,0.919,0.418,3.487
13,7,0.195,0.986,0.452,1.095,0.183,0.99,0.401,0.896,0.159,0.912,0.423,4.165,0.165,0.895,0.476,4.155
16,7,0.192,0.989,0.371,1.389,0.182,0.993,0.374,1.369,0.151,0.936,0.382,5.022,0.145,0.914,0.419,4.859
test08,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,8,0.724,1.053,0.576,0.266,0.727,1.055,0.601,0.288,0.847,1.116,0.633,5.194,0.847,1.116,0.633,5.047
4,8,0.617,1.026,0.575,0.487,0.661,1.034,0.571,0.459,0.979,1.116,0.753,7.062,0.979,1.116,0.753,7.074
7,8,0.576,1.017,0.523,0.635,0.659,1.024,0.627,0.791,0.968,1.056,0.82,2.64,0.972,1.06,0.814,2.574
10,8,0.584,1.031,0.549,0.879,0.706,1.038,0.592,1.032,0.956,1.056,0.798,2.929,0.954,1.061,0.789,3.051
13,8,0.655,1.033,0.554,1.115,0.721,1.039,0.583,1.102,0.973,1.063,0.805,3.418,0.952,1.048,0.795,3.473
16,8,0.744,1.044,0.612,1.381,0.833,1.052,0.621,1.614,0.983,1.06,0.8,4.107,0.968,1.055,0.804,4.151
test09,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,9,0.441,1.035,0.404,0.202,0.458,1.038,0.406,0.18,0.491,1.121,0.347,5.763,0.491,1.121,0.347,5.739
4,9,0.399,0.992,0.482,0.547,0.411,0.996,0.441,0.555,0.836,1.116,0.65,7.284,0.836,1.116,0.65,8.158
7,9,0.391,0.992,0.427,0.646,0.361,0.989,0.415,0.776,0.994,1.075,0.816,2.589,0.993,1.078,0.829,2.573
10,9,0.5,1.01,0.472,1.055,0.503,1.019,0.555,0.946,1,1.071,0.825,2.933,0.991,1.073,0.818,2.935
13,9,0.613,1.03,0.54,1.482,0.592,1.031,0.58,1.286,1,1.07,0.813,3.299,0.999,1.071,0.82,3.523
16,9,0.756,1.055,0.611,1.794,0.65,1.041,0.575,1.467,0.99,1.07,0.816,3.97,0.992,1.069,0.819,3.908
test10,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,10,0.949,1.065,0.727,0.301,0.946,1.064,0.723,0.258,0.991,1.11,0.763,4.459,0.991,1.11,0.763,4.425
