373,128
113,379
333,138
121,352
282,313
329,376
270,329
165,324
192,325
288,330
347,316
165,364
94,381
209,321
140,351
106,351
252,381
47,319
141,322
51,379
529,373
99,275
168,244
264,344
63,248
82,372
360,106
81,349
352,336
319,326
392,325
304,327
18,379
306,379
257,316
29,343
489,375
150,291
64,284
212,363
77,271
248,351
162,349
5,280
278,379
225,371
411,139
168,279
144,265
536,300
42,283
439,323
36,381
147,379
121,324
178,334
510,352
525,357
123,367
66,313
228,344
384,116
27,317
123,282
323,346
28,265
476,319
310,312
26,365
176,379
409,379
392,270
512,377
449,354
302,344
239,332
487,290
174,294
331,317
14,295
185,366
106,238
63,348
95,293
9,358
49,334
353,281
356,371
433,306
132,250
390,379
213,338
352,135
454,333
291,180
373,326
458,305
58,222
285,298
402,251
387,310
306,281
503,316
93,338
2,259
418,331
103,319
498,340
535,329
431,285
8,225
27,212
338,289
53,266
46,303
515,327
116,309
255,331
85,258
366,305
276,353
12,343
326,298
371,266
144,306
76,327
211,379
131,338
337,242
503,289
198,341
43,351
475,276
200,227
306,162
337,336
537,344
343,99
262,208
418,308
371,379
420,247
17,253
97,366
243,369
27,282
70,381
546,371
132,229
19,195
472,346
179,232
97,215
399,291
23,227
177,310
437,379
525,313
498,361
412,359
330,267
149,217
91,235
450,286
520,293
311,232
131,211
323,283
40,230
194,211
6,316
444,260
473,261
11,177
81,221
148,240
382,289
285,203
413,273
89,309
110,260
543,281
491,326
422,371
76,237
403,307
71,191
43,214
369,245
4,243
108,335
502,271
38,252
193,305
543,245
340,362
391,363
464,379
53,178
396,346
