183,179
304,194
330,201
200,193
147,183
304,171
350,140
345,200
286,186
274,172
171,188
225,213
134,175
305,233
522,227
430,187
452,126
325,231
253,173
365,148
335,253
313,208
483,176
288,218
186,201
331,137
259,214
436,119
344,180
462,189
361,172
319,188
375,221
255,248
375,197
289,170
340,231
227,193
275,250
214,173
161,172
375,165
429,233
301,300
207,222
242,208
293,243
238,245
299,122
268,227
271,193
275,156
357,247
436,211
202,163
412,240
387,138
422,218
220,231
112,185
307,250
86,146
349,158
188,224
239,225
433,251
356,223
80,160
312,139
85,176
162,127
325,172
325,156
522,246
489,190
391,248
452,235
207,241
171,210
241,156
402,174
497,252
100,163
101,197
452,150
355,278
132,198
147,127
516,264
40,290
381,235
66,175
178,127
525,284
541,263
166,310
485,159
389,214
28,155
505,198
51,165
474,237
302,154
32,176
471,147
544,243
13,155
276,115
476,209
504,230
502,270
471,253
113,207
199,131
529,188
543,197
404,117
469,323
490,238
396,229
83,192
74,285
222,132
428,285
419,114
396,189
395,304
96,283
56,281
177,149
284,132
148,205
454,165
21,270
480,274
23,191
235,112
501,181
403,204
463,222
10,219
434,329
170,228
412,155
449,254
449,291
267,141
415,194
19,288
431,149
361,297
454,326
200,116
540,214
56,210
105,110
101,131
71,138
207,311
67,222
237,12
378,299
467,292
4,275
38,271
250,189
253,11
543,309
114,284
348,4
510,127
547,172
416,129
415,315
69,72
455,269
493,216
189,46
135,265
371,271
83,118
178,328
276,50
406,141
433,165
42,227
110,70
8,70
498,320
240,307
12,44
285,10
147,51
334,40
381,109
238,332
46,72
483,291
115,260
381,283
