test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  01 , 0.890, 0.915, 0.958, 0.454, 0.836, 0.883, 1.000, 0.272, 0.886, 0.915, 1.000, 1.049, 0.886, 0.915, 1.000, 1.015, 1.000, 1.000, 1.000, 0.000
 02,  01 , 0.894, 0.916, 0.971, 0.211, 0.842, 0.886, 1.000, 0.211, 0.890, 0.918, 1.000, 0.511, 0.890, 0.918, 1.000, 0.564, 1.000, 1.000, 1.000, 0.000
 03,  01 , 0.894, 0.921, 1.000, 0.399, 0.879, 0.916, 1.000, 0.336, 0.939, 0.957, 1.000, 0.847, 0.939, 0.957, 1.000, 0.800, 1.000, 1.000, 1.000, 0.000
 04,  01 , 0.874, 0.904, 1.000, 0.309, 0.725, 0.790, 1.000, 0.252, 0.967, 0.979, 1.000, 0.886, 0.967, 0.979, 1.000, 0.912, 1.000, 1.000, 1.000, 0.000
 05,  01 , 0.878, 0.907, 1.000, 0.265, 0.690, 0.759, 0.958, 0.252, 0.968, 0.980, 1.000, 0.671, 0.968, 0.980, 1.000, 0.671, 1.000, 1.000, 1.000, 0.000
 06,  01 , 0.893, 0.917, 0.996, 0.344, 0.755, 0.816, 1.000, 0.464, 0.969, 0.980, 1.000, 0.342, 0.932, 0.951, 1.000, 0.336, 1.000, 1.000, 1.000, 0.000
 07,  01 , 0.896, 0.919, 0.997, 0.299, 0.727, 0.791, 0.992, 0.520, 0.970, 0.981, 1.000, 0.359, 0.891, 0.915, 0.978, 0.352, 1.000, 1.000, 1.000, 0.000
 08,  01 , 0.899, 0.921, 1.000, 0.323, 0.763, 0.821, 1.000, 0.456, 0.971, 0.981, 1.000, 0.379, 0.897, 0.921, 1.000, 0.518, 1.000, 1.000, 1.000, 0.000
 09,  01 , 0.928, 0.944, 1.000, 0.425, 0.770, 0.826, 1.000, 0.463, 0.971, 0.982, 1.000, 0.385, 0.899, 0.923, 1.000, 0.386, 1.000, 1.000, 1.000, 0.000
 10,  01 , 0.930, 0.946, 1.000, 0.391, 0.787, 0.832, 1.000, 0.499, 0.972, 0.982, 1.000, 0.426, 0.902, 0.926, 1.000, 0.404, 1.000, 1.000, 1.000, 0.000
 11,  01 , 0.932, 0.947, 1.000, 0.409, 0.801, 0.839, 1.000, 0.577, 0.973, 0.983, 1.000, 0.423, 0.854, 0.893, 1.000, 0.618, 1.000, 1.000, 1.000, 0.000
 12,  01 , 0.784, 0.823, 1.000, 0.604, 0.815, 0.862, 1.000, 0.486, 0.974, 0.983, 1.000, 0.457, 0.882, 0.911, 1.000, 0.598, 1.000, 1.000, 1.000, 0.000
 13,  01 , 0.854, 0.881, 1.000, 0.543, 0.819, 0.865, 1.000, 0.461, 0.974, 0.984, 1.000, 0.482, 0.856, 0.884, 1.000, 0.779, 1.000, 1.000, 1.000, 0.000
 14,  01 , 0.860, 0.884, 0.996, 0.717, 0.843, 0.876, 0.999, 0.799, 0.975, 0.984, 1.000, 0.508, 0.836, 0.862, 1.000, 0.717, 1.000, 1.000, 1.000, 0.000
 15,  01 , 0.863, 0.886, 0.995, 0.706, 0.846, 0.878, 1.000, 0.548, 0.976, 0.985, 1.000, 0.523, 0.845, 0.868, 0.998, 0.734, 1.000, 1.000, 1.000, 0.000
test02
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  02 , 0.927, 0.946, 1.000, 0.177, 0.941, 0.951, 1.000, 0.209, 0.941, 0.951, 1.000, 0.870, 0.941, 0.951, 1.000, 0.863, 1.000, 1.000, 1.000, 0.000
 02,  02 , 0.875, 0.898, 0.975, 0.201, 0.888, 0.902, 1.000, 0.191, 0.889, 0.903, 0.951, 0.513, 0.889, 0.903, 0.951, 0.508, 1.000, 1.000, 1.000, 0.000
 03,  02 , 0.816, 0.855, 0.954, 0.250, 0.892, 0.906, 1.000, 0.218, 0.899, 0.912, 0.994, 1.123, 0.899, 0.912, 0.994, 1.108, 1.000, 1.000, 1.000, 0.000
 04,  02 , 0.833, 0.862, 0.983, 0.454, 0.902, 0.911, 1.000, 0.323, 0.902, 0.915, 0.994, 0.622, 0.902, 0.915, 0.994, 0.614, 1.000, 1.000, 1.000, 0.000
 05,  02 , 0.856, 0.897, 0.972, 0.360, 0.930, 0.945, 1.000, 0.340, 0.936, 0.946, 1.000, 1.325, 0.936, 0.946, 1.000, 1.319, 1.000, 1.000, 1.000, 0.000
 06,  02 , 0.868, 0.900, 1.000, 0.511, 0.933, 0.947, 1.000, 0.271, 0.938, 0.948, 1.000, 0.350, 0.938, 0.948, 1.000, 0.331, 1.000, 1.000, 1.000, 0.000
 07,  02 , 0.866, 0.900, 1.000, 0.467, 0.935, 0.949, 1.000, 0.292, 0.940, 0.949, 1.000, 0.353, 0.871, 0.911, 1.000, 0.523, 1.000, 1.000, 1.000, 0.000
 08,  02 , 0.870, 0.903, 1.000, 0.325, 0.902, 0.910, 0.992, 0.314, 0.942, 0.951, 1.000, 0.371, 0.874, 0.913, 1.000, 0.375, 1.000, 1.000, 1.000, 0.000
 09,  02 , 0.868, 0.908, 1.000, 0.477, 0.943, 0.943, 1.000, 0.415, 0.977, 0.982, 1.000, 0.446, 0.878, 0.918, 1.000, 0.451, 1.000, 1.000, 1.000, 0.000
 10,  02 , 0.861, 0.912, 1.000, 0.591, 0.945, 0.944, 1.000, 0.381, 0.978, 0.983, 1.000, 0.447, 0.875, 0.920, 1.000, 0.611, 1.000, 1.000, 1.000, 0.000
 11,  02 , 0.865, 0.915, 0.997, 0.520, 0.946, 0.946, 1.000, 0.401, 0.978, 0.983, 1.000, 0.432, 0.879, 0.922, 1.000, 0.431, 1.000, 1.000, 1.000, 0.000
 12,  02 , 0.879, 0.918, 1.000, 0.615, 0.942, 0.952, 1.000, 0.500, 0.979, 0.984, 1.000, 0.454, 0.882, 0.924, 1.000, 0.442, 1.000, 1.000, 1.000, 0.000
 13,  02 , 0.874, 0.916, 1.000, 0.478, 0.944, 0.953, 1.000, 0.477, 0.980, 0.984, 1.000, 0.475, 0.885, 0.926, 1.000, 0.479, 1.000, 1.000, 1.000, 0.000
 14,  02 , 0.938, 0.958, 1.000, 0.617, 0.945, 0.955, 1.000, 0.518, 1.000, 1.000, 1.000, 0.690, 0.888, 0.928, 1.000, 0.507, 1.000, 1.000, 1.000, 0.000
