test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 11,  10 , 0.838, 1.064, 0.667, 1.066, 0.853, 1.057, 0.657, 1.068, 0.895, 1.037, 0.808, 3.379, 0.924, 1.059, 0.795, 3.256
 12,  10 , 0.843, 1.070, 0.691, 1.055, 0.863, 1.065, 0.649, 1.129, 0.922, 1.060, 0.791, 3.533, 0.934, 1.062, 0.801, 3.351
 13,  10 , 0.854, 1.069, 0.701, 1.306, 0.855, 1.062, 0.656, 1.306, 0.971, 1.066, 0.793, 3.645, 0.932, 1.061, 0.809, 3.528
 14,  10 , 0.837, 1.065, 0.680, 1.201, 0.838, 1.059, 0.679, 1.399, 0.978, 1.062, 0.799, 3.802, 0.932, 1.050, 0.785, 3.894
 15,  10 , 0.838, 1.065, 0.696, 1.292, 0.838, 1.065, 0.714, 1.429, 0.975, 1.068, 0.791, 4.184, 0.939, 1.065, 0.797, 3.991
test11
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  11 , 0.424, 1.046, 0.417, 0.218, 0.432, 1.038, 0.429, 0.215, 0.438, 1.126, 0.338, 4.859, 0.438, 1.126, 0.338, 5.462
 02,  11 , 0.437, 1.026, 0.458, 0.460, 0.446, 1.024, 0.460, 0.547, 0.434, 1.127, 0.333, 5.547, 0.434, 1.127, 0.333, 5.527
 03,  11 , 0.456, 1.019, 0.473, 0.411, 0.440, 1.019, 0.464, 0.418, 0.474, 1.127, 0.340, 7.862, 0.474, 1.127, 0.340, 8.154
 04,  11 , 0.458, 1.012, 0.515, 0.552, 0.457, 1.016, 0.502, 0.548, 0.481, 1.128, 0.337, 8.708, 0.481, 1.128, 0.337, 8.469
 05,  11 , 0.471, 1.012, 0.513, 0.550, 0.451, 1.013, 0.513, 0.600, 0.503, 1.129, 0.337, 10.265, 0.503, 1.129, 0.337, 9.219
 06,  11 , 0.468, 1.009, 0.517, 0.584, 0.451, 1.010, 0.489, 0.436, 0.425, 1.026, 0.422, 2.085, 0.531, 1.026, 0.436, 0.527
 07,  11 , 0.472, 1.010, 0.474, 0.648, 0.464, 1.014, 0.496, 0.695, 0.472, 1.020, 0.579, 2.839, 0.541, 1.028, 0.544, 2.824
 08,  11 , 0.460, 1.011, 0.473, 0.821, 0.444, 1.011, 0.478, 0.884, 0.525, 0.987, 0.670, 2.812, 0.643, 1.018, 0.677, 2.858
 09,  11 , 0.489, 1.013, 0.453, 0.911, 0.470, 1.014, 0.460, 0.968, 0.629, 1.000, 0.713, 3.015, 0.793, 1.035, 0.762, 3.152
 10,  11 , 0.477, 1.011, 0.455, 1.013, 0.468, 1.015, 0.456, 0.903, 0.643, 1.024, 0.764, 3.197, 0.785, 1.030, 0.787, 3.232
 11,  11 , 0.470, 1.011, 0.441, 1.053, 0.488, 1.014, 0.500, 1.034, 0.675, 1.036, 0.789, 3.386, 0.790, 1.041, 0.813, 3.255
 12,  11 , 0.486, 1.004, 0.451, 1.035, 0.492, 1.015, 0.461, 1.139, 0.725, 1.042, 0.793, 3.461, 0.793, 1.046, 0.815, 3.340
 13,  11 , 0.502, 1.012, 0.481, 1.253, 0.495, 1.017, 0.454, 1.145, 0.723, 1.040, 0.784, 3.670, 0.798, 1.039, 0.802, 3.494
 14,  11 , 0.562, 1.022, 0.501, 1.436, 0.594, 1.033, 0.521, 1.431, 0.751, 1.045, 0.762, 4.004, 0.796, 1.045, 0.807, 3.732
 15,  11 , 0.589, 1.030, 0.514, 1.545, 0.599, 1.037, 0.553, 1.446, 0.754, 1.048, 0.781, 4.236, 0.844, 1.037, 0.794, 3.968
test12
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  12 , 0.765, 1.082, 0.642, 0.281, 0.781, 1.086, 0.645, 0.280, 0.832, 1.125, 0.679, 5.380, 0.832, 1.125, 0.679, 5.313
 02,  12 , 0.737, 1.076, 0.651, 0.407, 0.751, 1.082, 0.635, 0.336, 0.868, 1.127, 0.689, 5.728, 0.868, 1.127, 0.689, 5.675
 03,  12 , 0.707, 1.070, 0.625, 0.424, 0.737, 1.075, 0.652, 0.544, 0.875, 1.127, 0.695, 6.293, 0.875, 1.127, 0.695, 6.140
 04,  12 , 0.696, 1.063, 0.622, 0.508, 0.699, 1.070, 0.620, 0.534, 0.863, 1.126, 0.695, 6.761, 0.863, 1.126, 0.695, 6.754
 05,  12 , 0.744, 1.072, 0.623, 0.633, 0.705, 1.072, 0.614, 0.541, 0.861, 1.129, 0.684, 7.602, 0.861, 1.129, 0.684, 7.606
 06,  12 , 0.728, 1.071, 0.604, 0.558, 0.694, 1.071, 0.588, 0.632, 0.843, 1.054, 0.772, 2.679, 0.846, 1.065, 0.756, 2.676
 07,  12 , 0.768, 1.075, 0.634, 0.640, 0.702, 1.071, 0.587, 0.594, 0.828, 1.069, 0.752, 2.767, 0.842, 1.074, 0.780, 2.712
 08,  12 , 0.757, 1.076, 0.634, 0.640, 0.706, 1.071, 0.595, 0.776, 0.820, 1.075, 0.748, 2.933, 0.833, 1.068, 0.740, 2.861
 09,  12 , 0.749, 1.082, 0.617, 0.757, 0.723, 1.070, 0.618, 0.898, 0.839, 1.063, 0.748, 3.080, 0.866, 1.059, 0.744, 3.073
 10,  12 , 0.743, 1.082, 0.610, 0.967, 0.734, 1.069, 0.609, 1.056, 0.834, 1.072, 0.755, 3.287, 0.845, 1.071, 0.744, 3.292
 11,  12 , 0.751, 1.079, 0.602, 0.973, 0.717, 1.072, 0.592, 0.807, 0.821, 1.066, 0.738, 3.476, 0.844, 1.072, 0.765, 3.412
 12,  12 , 0.744, 1.077, 0.600, 0.895, 0.762, 1.074, 0.631, 0.959, 0.805, 1.065, 0.751, 3.668, 0.829, 1.072, 0.751, 3.658
 13,  12 , 0.718, 1.075, 0.585, 1.242, 0.758, 1.077, 0.612, 1.160, 0.823, 1.060, 0.738, 3.929, 0.850, 1.068, 0.747, 3.872
 14,  12 , 0.722, 1.075, 0.576, 1.246, 0.742, 1.076, 0.579, 1.130, 0.845, 1.067, 0.741, 4.092, 0.836, 1.069, 0.768, 4.007
 15,  12 , 0.708, 1.072, 0.567, 1.219, 0.727, 1.075, 0.587, 1.553, 0.825, 1.060, 0.744, 4.305, 0.832, 1.063, 0.735, 4.407
test13
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  13 , 0.317, 1.043, 0.342, 0.188, 0.332, 1.034, 0.364, 0.219, 0.325, 1.119, 0.300, 4.865, 0.325, 1.119, 0.300, 4.914
 02,  13 , 0.309, 1.013, 0.416, 0.385, 0.319, 1.016, 0.411, 0.415, 0.321, 1.118, 0.288, 0.814, 0.321, 1.118, 0.288, 0.816
 03,  13 , 0.321, 0.999, 0.442, 0.332, 0.309, 1.001, 0.428, 0.417, 0.335, 1.117, 0.294, 7.267, 0.335, 1.117, 0.294, 6.357
 04,  13 , 0.295, 0.994, 0.453, 0.529, 0.290, 0.993, 0.453, 0.452, 0.331, 1.118, 0.288, 7.130, 0.331, 1.118, 0.288, 7.115
 05,  13 , 0.327, 0.988, 0.436, 0.542, 0.307, 0.988, 0.439, 0.546, 0.343, 1.118, 0.284, 8.008, 0.343, 1.118, 0.284, 7.990
 06,  13 , 0.275, 0.993, 0.420, 0.431, 0.291, 0.991, 0.409, 0.587, 0.250, 0.974, 0.390, 2.120, 0.246, 0.986, 0.374, 1.267
 07,  13 , 0.247, 0.990, 0.409, 0.671, 0.297, 0.987, 0.409, 0.642, 0.239, 0.959, 0.424, 3.132, 0.198, 0.939, 0.398, 3.155
 08,  13 , 0.256, 0.988, 0.405, 0.716, 0.290, 0.989, 0.437, 0.747, 0.203, 0.917, 0.504, 3.130, 0.172, 0.908, 0.427, 3.146
 09,  13 , 0.261, 0.994, 0.408, 0.818, 0.294, 0.990, 0.435, 0.839, 0.185, 0.904, 0.444, 3.321, 0.199, 0.915, 0.490, 3.127
 10,  13 , 0.249, 0.993, 0.414, 0.752, 0.282, 0.985, 0.462, 0.902, 0.164, 0.914, 0.388, 3.592, 0.197, 0.911, 0.386, 3.478
 11,  13 , 0.253, 0.992, 0.441, 0.982, 0.274, 0.988, 0.459, 0.962, 0.163, 0.897, 0.425, 3.618, 0.189, 0.905, 0.405, 3.742
 12,  13 , 0.250, 0.993, 0.426, 0.804, 0.275, 0.991, 0.402, 0.791, 0.161, 0.903, 0.375, 4.036, 0.194, 0.917, 0.419, 3.896
 13,  13 , 0.246, 0.994, 0.401, 1.060, 0.276, 0.992, 0.431, 1.103, 0.169, 0.896, 0.371, 4.224, 0.177, 0.920, 0.498, 3.991
 14,  13 , 0.243, 0.995, 0.418, 1.195, 0.271, 0.989, 0.438, 1.327, 0.163, 0.906, 0.375, 4.504, 0.169, 0.892, 0.430, 4.260
 15,  13 , 0.251, 0.995, 0.429, 1.288, 0.290, 0.989, 0.473, 1.210, 0.180, 0.908, 0.443, 4.554, 0.202, 0.921, 0.548, 4.295
test14
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  14 , 0.595, 1.048, 0.460, 0.286, 0.600, 1.046, 0.464, 0.283, 0.749, 1.115, 0.521, 5.635, 0.749, 1.115, 0.521, 5.718
 02,  14 , 0.628, 1.035, 0.530, 0.492, 0.592, 1.027, 0.479, 0.409, 0.904, 1.115, 0.683, 5.819, 0.904, 1.115, 0.683, 5.806
 03,  14 , 0.648, 1.019, 0.568, 0.526, 0.653, 1.031, 0.572, 0.480, 0.967, 1.114, 0.751, 6.088, 0.967, 1.114, 0.751, 5.935
 04,  14 , 0.680, 1.032, 0.607, 0.642, 0.700, 1.033, 0.571, 0.591, 0.994, 1.118, 0.757, 6.262, 0.994, 1.118, 0.757, 6.291
 05,  14 , 0.638, 1.031, 0.602, 0.494, 0.683, 1.031, 0.535, 0.692, 0.983, 1.119, 0.755, 6.679, 0.983, 1.119, 0.755, 6.753
 06,  14 , 0.625, 1.030, 0.572, 0.618, 0.682, 1.036, 0.591, 0.719, 0.925, 1.054, 0.808, 2.089, 0.930, 1.057, 0.759, 2.263
 07,  14 , 0.623, 1.029, 0.617, 0.710, 0.691, 1.036, 0.582, 0.826, 0.926, 1.055, 0.812, 2.628, 0.969, 1.052, 0.800, 2.636
 08,  14 , 0.610, 1.035, 0.597, 0.829, 0.706, 1.041, 0.589, 0.912, 0.925, 1.058, 0.807, 2.701, 0.987, 1.057, 0.806, 2.786
 09,  14 , 0.614, 1.032, 0.606, 0.855, 0.685, 1.039, 0.576, 0.771, 0.933, 1.064, 0.816, 2.837, 0.988, 1.070, 0.806, 2.862
 10,  14 , 0.665, 1.036, 0.647, 1.054, 0.693, 1.042, 0.576, 0.986, 0.925, 1.061, 0.807, 3.026, 0.979, 1.065, 0.796, 3.008
 11,  14 , 0.678, 1.037, 0.617, 1.086, 0.731, 1.044, 0.618, 1.146, 0.928, 1.059, 0.808, 3.199, 0.982, 1.056, 0.806, 3.190
 12,  14 , 0.668, 1.035, 0.588, 1.172, 0.723, 1.048, 0.597, 1.240, 0.934, 1.055, 0.797, 3.363, 0.981, 1.058, 0.807, 3.332
 13,  14 , 0.685, 1.036, 0.590, 1.127, 0.762, 1.051, 0.615, 1.327, 0.925, 1.062, 0.800, 3.637, 0.983, 1.061, 0.807, 3.549
 14,  14 , 0.732, 1.042, 0.611, 1.436, 0.744, 1.046, 0.603, 1.422, 0.931, 1.047, 0.796, 3.767, 0.984, 1.058, 0.808, 3.668
 15,  14 , 0.757, 1.044, 0.600, 1.544, 0.746, 1.045, 0.566, 1.541, 0.942, 1.054, 0.791, 4.014, 0.978, 1.065, 0.803, 3.930
test15
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  15 , 0.305, 1.003, 0.367, 0.280, 0.291, 1.001, 0.366, 0.230, 0.345, 1.101, 0.296, 4.797, 0.345, 1.101, 0.296, 4.752
 02,  15 , 0.274, 0.978, 0.388, 0.332, 0.284, 0.974, 0.401, 0.303, 0.359, 1.103, 0.296, 6.876, 0.359, 1.103, 0.296, 6.921
 03,  15 , 0.269, 0.964, 0.395, 0.340, 0.270, 0.966, 0.413, 0.381, 0.376, 1.105, 0.296, 7.693, 0.376, 1.105, 0.296, 7.662
 04,  15 , 0.240, 0.957, 0.394, 0.452, 0.272, 0.955, 0.428, 0.409, 0.379, 1.103, 0.292, 8.433, 0.379, 1.103, 0.292, 8.450
 05,  15 , 0.237, 0.945, 0.400, 0.469, 0.270, 0.948, 0.452, 0.449, 0.396, 1.101, 0.292, 9.352, 0.396, 1.101, 0.292, 9.370
 06,  15 , 0.240, 0.942, 0.416, 0.546, 0.273, 0.946, 0.483, 0.683, 0.369, 0.964, 0.392, 2.257, 0.338, 0.938, 0.374, 0.536
 07,  15 , 0.232, 0.942, 0.405, 0.521, 0.264, 0.949, 0.415, 0.767, 0.381, 0.949, 0.436, 2.934, 0.215, 0.909, 0.443, 3.162
 08,  15 , 0.224, 0.942, 0.376, 0.802, 0.280, 0.949, 0.421, 0.765, 0.449, 0.942, 0.595, 2.935, 0.249, 0.901, 0.503, 3.144
 09,  15 , 0.232, 0.944, 0.375, 0.767, 0.265, 0.942, 0.434, 0.959, 0.589, 0.991, 0.685, 3.073, 0.306, 0.923, 0.481, 3.109
 10,  15 , 0.261, 0.949, 0.373, 0.925, 0.243, 0.940, 0.422, 0.964, 0.754, 1.035, 0.768, 3.219, 0.393, 0.947, 0.589, 3.214
 11,  15 , 0.272, 0.950, 0.357, 1.069, 0.247, 0.943, 0.400, 1.001, 0.787, 1.034, 0.804, 3.195, 0.499, 0.971, 0.681, 3.413
 12,  15 , 0.258, 0.946, 0.373, 1.238, 0.245, 0.942, 0.402, 0.980, 0.748, 1.037, 0.769, 3.456, 0.539, 0.991, 0.696, 3.485
 13,  15 , 0.313, 0.952, 0.359, 1.322, 0.282, 0.946, 0.396, 1.116, 0.721, 0.996, 0.803, 3.565, 0.670, 1.000, 0.764, 3.755
 14,  15 , 0.313, 0.956, 0.341, 1.366, 0.291, 0.954, 0.354, 1.329, 0.778, 1.032, 0.755, 4.121, 0.702, 1.015, 0.790, 3.958
 15,  15 , 0.328, 0.961, 0.355, 1.536, 0.279, 0.952, 0.354, 1.329, 0.812, 1.048, 0.787, 4.182, 0.718, 1.019, 0.785, 4.100
test16
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  16 , 0.416, 1.032, 0.364, 0.274, 0.416, 1.034, 0.352, 0.221, 0.543, 1.117, 0.360, 6.097, 0.543, 1.117, 0.360, 5.953
 02,  16 , 0.407, 1.019, 0.393, 0.380, 0.426, 1.016, 0.401, 0.299, 0.610, 1.119, 0.393, 6.590, 0.610, 1.119, 0.393, 6.525
 03,  16 , 0.398, 1.004, 0.446, 0.488, 0.488, 1.008, 0.456, 0.536, 0.778, 1.116, 0.541, 7.340, 0.778, 1.116, 0.541, 6.991
 04,  16 , 0.388, 1.003, 0.456, 0.547, 0.451, 1.009, 0.474, 0.484, 0.933, 1.117, 0.712, 7.251, 0.933, 1.117, 0.712, 7.157
 05,  16 , 0.409, 1.005, 0.447, 0.547, 0.525, 1.008, 0.528, 0.594, 0.976, 1.117, 0.747, 7.947, 0.976, 1.117, 0.747, 7.427
 06,  16 , 0.413, 0.999, 0.435, 0.553, 0.493, 1.008, 0.502, 0.690, 0.946, 1.061, 0.780, 2.538, 0.955, 1.060, 0.805, 2.566
 07,  16 , 0.442, 0.995, 0.486, 0.650, 0.495, 1.005, 0.489, 0.765, 0.916, 1.063, 0.767, 2.601, 0.959, 1.055, 0.818, 2.572
 08,  16 , 0.409, 0.990, 0.472, 0.892, 0.488, 1.005, 0.473, 0.755, 0.911, 1.054, 0.812, 2.692, 0.927, 1.055, 0.800, 2.716
 09,  16 , 0.413, 0.992, 0.426, 0.894, 0.473, 0.998, 0.482, 0.835, 0.869, 1.034, 0.800, 2.888, 0.886, 1.051, 0.785, 2.877
 10,  16 , 0.408, 0.991, 0.447, 0.982, 0.484, 1.001, 0.475, 0.985, 0.857, 1.053, 0.809, 3.043, 0.882, 1.053, 0.816, 2.995
 11,  16 , 0.404, 0.996, 0.445, 1.130, 0.461, 1.001, 0.445, 1.150, 0.858, 1.049, 0.815, 3.193, 0.878, 1.042, 0.815, 3.106
 12,  16 , 0.389, 0.995, 0.409, 1.144, 0.439, 1.002, 0.431, 1.098, 0.857, 1.052, 0.811, 3.262, 0.888, 1.047, 0.803, 3.327
 13,  16 , 0.426, 0.995, 0.420, 1.153, 0.483, 1.005, 0.451, 1.336, 0.870, 1.049, 0.786, 3.703, 0.892, 1.046, 0.811, 3.598
 14,  16 , 0.433, 1.004, 0.433, 1.436, 0.488, 1.011, 0.440, 1.442, 0.824, 1.046, 0.770, 3.838, 0.868, 1.053, 0.777, 3.722
 15,  16 , 0.471, 1.011, 0.447, 1.544, 0.479, 1.013, 0.461, 1.551, 0.828, 1.040, 0.802, 4.115, 0.830, 1.036, 0.762, 3.978
test17
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  17 , 0.946, 1.059, 0.729, 0.313, 0.956, 1.066, 0.734, 0.274, 0.963, 1.102, 0.763, 4.724, 0.963, 1.102, 0.763, 4.704
 02,  17 , 0.953, 1.057, 0.732, 0.494, 0.978, 1.065, 0.772, 0.446, 0.979, 1.106, 0.755, 5.071, 0.979, 1.106, 0.755, 5.075
 03,  17 , 0.961, 1.058, 0.748, 0.490, 0.987, 1.062, 0.782, 0.432, 0.988, 1.107, 0.760, 6.010, 0.988, 1.107, 0.760, 5.721
 04,  17 , 0.961, 1.059, 0.742, 0.500, 0.985, 1.064, 0.762, 0.455, 0.987, 1.107, 0.757, 6.292, 0.987, 1.107, 0.757, 6.241
 05,  17 , 0.948, 1.059, 0.720, 0.555, 0.964, 1.062, 0.746, 0.481, 0.986, 1.107, 0.755, 6.856, 0.986, 1.107, 0.755, 6.821
 06,  17 , 0.939, 1.055, 0.715, 0.701, 0.952, 1.059, 0.729, 0.611, 0.986, 1.049, 0.798, 2.588, 0.980, 1.051, 0.803, 2.585
 07,  17 , 0.940, 1.055, 0.707, 0.778, 0.956, 1.058, 0.727, 0.661, 0.981, 1.054, 0.801, 2.666, 0.982, 1.041, 0.808, 2.557
 08,  17 , 0.963, 1.060, 0.731, 0.715, 0.972, 1.061, 0.750, 0.712, 0.984, 1.049, 0.815, 2.716, 0.990, 1.055, 0.797, 2.768
 09,  17 , 0.913, 1.054, 0.708, 0.764, 0.974, 1.064, 0.745, 0.758, 0.990, 1.057, 0.803, 2.856, 0.942, 1.051, 0.778, 2.919
 10,  17 , 0.913, 1.056, 0.711, 0.970, 0.959, 1.063, 0.731, 0.812, 0.991, 1.053, 0.810, 3.050, 0.990, 1.060, 0.796, 3.086
 11,  17 , 0.968, 1.063, 0.734, 0.903, 0.968, 1.066, 0.734, 0.829, 0.990, 1.059, 0.808, 3.103, 0.991, 1.045, 0.798, 3.233
 12,  17 , 0.961, 1.060, 0.732, 0.957, 0.959, 1.062, 0.726, 0.952, 0.991, 1.051, 0.810, 3.298, 0.991, 1.054, 0.802, 3.347
 13,  17 , 0.954, 1.056, 0.717, 1.048, 0.961, 1.061, 0.729, 1.129, 0.991, 1.054, 0.807, 3.480, 0.992, 1.063, 0.798, 3.531
 14,  17 , 0.953, 1.058, 0.715, 1.043, 0.959, 1.063, 0.723, 1.130, 0.992, 1.048, 0.801, 3.744, 0.986, 1.056, 0.795, 3.820
 15,  17 , 0.964, 1.060, 0.725, 1.447, 0.953, 1.062, 0.721, 1.121, 0.992, 1.053, 0.809, 4.014, 0.993, 1.065, 0.807, 3.958
test18
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  18 , 0.599, 1.053, 0.486, 0.292, 0.605, 1.059, 0.473, 0.255, 0.868, 1.119, 0.650, 5.498, 0.868, 1.119, 0.650, 5.435
 02,  18 , 0.597, 1.032, 0.554, 0.378, 0.600, 1.041, 0.496, 0.471, 0.914, 1.120, 0.750, 5.561, 0.914, 1.120, 0.750, 5.514
 03,  18 , 0.580, 1.028, 0.542, 0.414, 0.633, 1.035, 0.556, 0.484, 0.918, 1.121, 0.750, 5.723, 0.918, 1.121, 0.750, 6.360
 04,  18 , 0.577, 1.026, 0.525, 0.524, 0.629, 1.032, 0.546, 0.583, 0.921, 1.121, 0.748, 6.349, 0.921, 1.121, 0.748, 6.339
 05,  18 , 0.566, 1.020, 0.528, 0.554, 0.710, 1.038, 0.595, 0.693, 0.917, 1.122, 0.741, 7.092, 0.917, 1.122, 0.741, 7.085
 06,  18 , 0.584, 1.021, 0.533, 0.751, 0.713, 1.037, 0.594, 0.760, 0.922, 1.066, 0.793, 1.890, 0.928, 1.065, 0.795, 2.708
 07,  18 , 0.613, 1.019, 0.559, 0.826, 0.744, 1.044, 0.631, 0.753, 0.928, 1.068, 0.812, 2.558, 0.945, 1.064, 0.805, 2.596
 08,  18 , 0.605, 1.028, 0.539, 0.899, 0.724, 1.040, 0.603, 0.907, 0.886, 1.070, 0.779, 2.770, 0.936, 1.065, 0.803, 2.701
 09,  18 , 0.655, 1.031, 0.573, 0.978, 0.745, 1.046, 0.585, 0.914, 0.886, 1.064, 0.803, 2.999, 0.936, 1.059, 0.811, 2.893
 10,  18 , 0.667, 1.035, 0.577, 0.911, 0.753, 1.044, 0.605, 1.066, 0.896, 1.058, 0.805, 3.011, 0.949, 1.063, 0.802, 3.053
 11,  18 , 0.659, 1.038, 0.563, 0.983, 0.751, 1.051, 0.615, 1.144, 0.895, 1.058, 0.800, 3.189, 0.942, 1.062, 0.806, 3.220
 12,  18 , 0.670, 1.041, 0.568, 1.245, 0.764, 1.049, 0.628, 1.243, 0.891, 1.054, 0.797, 3.397, 0.944, 1.067, 0.803, 3.399
 13,  18 , 0.666, 1.038, 0.569, 1.148, 0.754, 1.051, 0.618, 1.033, 0.900, 1.062, 0.789, 3.646, 0.940, 1.065, 0.797, 3.600
 14,  18 , 0.714, 1.045, 0.579, 1.436, 0.759, 1.050, 0.621, 1.434, 0.881, 1.056, 0.785, 3.871, 0.935, 1.057, 0.787, 3.854
 15,  18 , 0.695, 1.044, 0.571, 1.555, 0.741, 1.049, 0.594, 1.413, 0.860, 1.053, 0.795, 4.022, 0.919, 1.061, 0.772, 4.039
test19
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  19 , 0.979, 1.073, 0.757, 0.346, 0.961, 1.066, 0.750, 0.269, 0.998, 1.108, 0.772, 4.577, 0.998, 1.108, 0.772, 4.557
 02,  19 , 0.947, 1.069, 0.747, 0.415, 0.990, 1.067, 0.785, 0.442, 0.998, 1.111, 0.772, 4.870, 0.998, 1.111, 0.772, 4.875
 03,  19 , 0.925, 1.064, 0.763, 0.488, 0.959, 1.067, 0.757, 0.475, 0.998, 1.110, 0.770, 5.494, 0.998, 1.110, 0.770, 5.538
 04,  19 , 0.954, 1.072, 0.764, 0.574, 0.955, 1.065, 0.762, 0.446, 0.999, 1.110, 0.770, 5.860, 0.999, 1.110, 0.770, 5.827
 05,  19 , 0.938, 1.070, 0.743, 0.539, 0.940, 1.068, 0.734, 0.492, 0.999, 1.112, 0.769, 6.319, 0.999, 1.112, 0.769, 6.357
 06,  19 , 0.951, 1.066, 0.759, 0.572, 0.942, 1.067, 0.735, 0.545, 0.999, 1.059, 0.807, 2.036, 0.999, 1.056, 0.815, 2.449
 07,  19 , 0.948, 1.066, 0.751, 0.654, 0.983, 1.071, 0.764, 0.708, 1.000, 1.062, 0.825, 2.557, 0.999, 1.055, 0.821, 2.522
 08,  19 , 0.939, 1.067, 0.747, 0.639, 0.976, 1.068, 0.759, 0.757, 0.998, 1.058, 0.818, 2.592, 0.999, 1.058, 0.817, 2.685
 09,  19 , 0.946, 1.065, 0.752, 0.757, 0.979, 1.070, 0.761, 0.829, 1.000, 1.063, 0.810, 2.845, 1.000, 1.058, 0.815, 2.807
 10,  19 , 0.926, 1.061, 0.747, 0.756, 0.954, 1.066, 0.742, 0.808, 1.000, 1.062, 0.819, 2.971, 0.967, 1.058, 0.773, 3.052
 11,  19 , 0.929, 1.060, 0.729, 0.812, 0.963, 1.069, 0.752, 0.959, 1.000, 1.060, 0.816, 3.100, 0.982, 1.058, 0.817, 3.162
 12,  19 , 0.954, 1.064, 0.747, 1.103, 0.966, 1.069, 0.751, 1.034, 0.999, 1.054, 0.808, 3.302, 0.982, 1.049, 0.808, 3.265
 13,  19 , 0.949, 1.066, 0.741, 1.028, 0.961, 1.070, 0.741, 1.035, 0.999, 1.063, 0.804, 3.521, 0.999, 1.063, 0.813, 3.532
 14,  19 , 0.953, 1.066, 0.733, 1.008, 0.960, 1.071, 0.746, 1.010, 0.982, 1.061, 0.800, 3.733, 1.000, 1.054, 0.802, 3.718
 15,  19 , 0.951, 1.064, 0.731, 1.072, 0.961, 1.068, 0.749, 1.174, 0.983, 1.057, 0.804, 3.955, 1.000, 1.060, 0.799, 3.904
test20
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  20 , 0.582, 1.053, 0.518, 0.323, 0.566, 1.052, 0.474, 0.289, 0.672, 1.118, 0.498, 5.740, 0.672, 1.118, 0.498, 5.732
 02,  20 , 0.565, 1.038, 0.556, 0.418, 0.589, 1.042, 0.538, 0.501, 0.771, 1.116, 0.595, 6.014, 0.771, 1.116, 0.595, 6.045
 03,  20 , 0.580, 1.033, 0.577, 0.492, 0.582, 1.035, 0.553, 0.414, 0.858, 1.116, 0.681, 6.870, 0.858, 1.116, 0.681, 6.283
 04,  20 , 0.580, 1.042, 0.577, 0.585, 0.606, 1.036, 0.623, 0.560, 0.883, 1.116, 0.714, 6.774, 0.883, 1.116, 0.714, 6.747
 05,  20 , 0.569, 1.040, 0.572, 0.549, 0.584, 1.040, 0.586, 0.543, 0.840, 1.117, 0.682, 7.447, 0.840, 1.117, 0.682, 7.470
 06,  20 , 0.548, 1.039, 0.565, 0.696, 0.564, 1.042, 0.593, 0.701, 0.825, 1.058, 0.743, 2.571, 0.821, 1.055, 0.743, 2.554
 07,  20 , 0.533, 1.039, 0.609, 0.830, 0.550, 1.042, 0.582, 0.711, 0.859, 1.048, 0.810, 2.616, 0.883, 1.060, 0.789, 2.645
 08,  20 , 0.504, 1.039, 0.582, 0.766, 0.525, 1.042, 0.565, 0.771, 0.818, 1.042, 0.788, 2.721, 0.867, 1.051, 0.790, 2.796
 09,  20 , 0.512, 1.033, 0.613, 0.965, 0.512, 1.035, 0.603, 0.831, 0.811, 1.040, 0.778, 2.884, 0.869, 1.049, 0.799, 2.942
