test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 04,  03 , 0.628, 1.012, 0.548, 0.493, 0.751, 1.022, 0.633, 0.621, 0.904, 1.104, 0.734, 6.797, 0.904, 1.104, 0.734, 6.782
 05,  03 , 0.614, 1.010, 0.540, 0.605, 0.736, 1.026, 0.635, 0.678, 0.983, 1.113, 0.749, 7.323, 0.983, 1.113, 0.749, 7.316
 06,  03 , 0.653, 1.013, 0.566, 0.754, 0.840, 1.035, 0.681, 0.743, 0.985, 1.054, 0.811, 2.527, 0.972, 1.053, 0.790, 2.602
 07,  03 , 0.655, 1.013, 0.562, 0.867, 0.789, 1.036, 0.655, 0.902, 0.983, 1.059, 0.814, 2.602, 0.896, 1.014, 0.822, 2.727
 08,  03 , 0.659, 1.016, 0.576, 0.904, 0.840, 1.051, 0.688, 0.898, 0.979, 1.059, 0.796, 2.882, 0.977, 1.060, 0.801, 2.772
 09,  03 , 0.638, 1.014, 0.567, 0.844, 0.814, 1.051, 0.649, 0.981, 0.949, 1.049, 0.769, 2.883, 0.927, 1.052, 0.782, 2.907
 10,  03 , 0.689, 1.019, 0.587, 1.080, 0.828, 1.048, 0.648, 1.069, 0.965, 1.053, 0.802, 3.105, 0.928, 1.053, 0.780, 3.079
 11,  03 , 0.703, 1.022, 0.598, 1.087, 0.826, 1.048, 0.650, 0.966, 0.967, 1.055, 0.799, 3.266, 0.944, 1.051, 0.809, 3.239
 12,  03 , 0.718, 1.025, 0.606, 1.273, 0.831, 1.049, 0.658, 1.846, 0.963, 1.065, 0.799, 3.715, 0.946, 1.054, 0.803, 3.412
 13,  03 , 0.728, 1.033, 0.623, 1.306, 0.832, 1.049, 0.651, 1.172, 0.968, 1.054, 0.805, 3.643, 0.947, 1.060, 0.796, 3.591
 14,  03 , 0.733, 1.032, 0.617, 1.368, 0.822, 1.053, 0.651, 1.226, 0.965, 1.060, 0.798, 3.788, 0.948, 1.051, 0.797, 3.728
 15,  03 , 0.744, 1.030, 0.629, 1.439, 0.835, 1.050, 0.655, 1.444, 0.962, 1.050, 0.800, 3.958, 0.951, 1.056, 0.805, 3.974
test04
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  04 , 0.578, 1.034, 0.458, 0.285, 0.583, 1.037, 0.451, 0.250, 0.731, 1.106, 0.543, 5.631, 0.731, 1.106, 0.543, 5.639
 02,  04 , 0.625, 1.032, 0.507, 0.525, 0.620, 1.026, 0.502, 0.407, 0.809, 1.111, 0.662, 5.624, 0.809, 1.111, 0.662, 5.679
 03,  04 , 0.650, 1.031, 0.592, 0.573, 0.690, 1.026, 0.640, 0.559, 0.817, 1.112, 0.667, 5.837, 0.817, 1.112, 0.667, 6.506
 04,  04 , 0.646, 1.030, 0.607, 0.585, 0.712, 1.031, 0.644, 0.583, 0.823, 1.113, 0.670, 6.503, 0.823, 1.113, 0.670, 6.532
 05,  04 , 0.656, 1.040, 0.600, 0.604, 0.743, 1.041, 0.618, 0.687, 0.832, 1.114, 0.671, 7.094, 0.832, 1.114, 0.671, 7.146
 06,  04 , 0.676, 1.039, 0.633, 0.628, 0.765, 1.040, 0.664, 0.731, 0.830, 1.063, 0.757, 2.572, 0.812, 1.058, 0.703, 1.562
 07,  04 , 0.676, 1.036, 0.630, 0.713, 0.741, 1.044, 0.645, 0.771, 0.861, 1.044, 0.841, 2.642, 0.834, 1.055, 0.784, 2.543
 08,  04 , 0.673, 1.035, 0.619, 0.770, 0.736, 1.038, 0.647, 0.909, 0.867, 1.048, 0.812, 2.723, 0.838, 1.048, 0.827, 2.689
 09,  04 , 0.658, 1.031, 0.636, 0.854, 0.702, 1.038, 0.659, 0.994, 0.826, 1.045, 0.786, 2.905, 0.795, 1.047, 0.783, 2.828
 10,  04 , 0.642, 1.029, 0.661, 1.069, 0.665, 1.033, 0.649, 0.989, 0.787, 1.041, 0.774, 3.016, 0.761, 1.036, 0.756, 2.998
 11,  04 , 0.638, 1.033, 0.643, 1.077, 0.685, 1.035, 0.644, 1.068, 0.844, 1.049, 0.822, 3.112, 0.764, 1.039, 0.812, 3.153
 12,  04 , 0.639, 1.032, 0.620, 1.260, 0.674, 1.031, 0.619, 1.070, 0.856, 1.047, 0.814, 3.274, 0.769, 1.040, 0.810, 3.266
 13,  04 , 0.647, 1.032, 0.609, 1.123, 0.664, 1.028, 0.611, 1.162, 0.851, 1.044, 0.806, 3.477, 0.767, 1.037, 0.808, 3.480
 14,  04 , 0.615, 1.029, 0.575, 1.467, 0.687, 1.031, 0.633, 1.475, 0.822, 1.039, 0.802, 3.585, 0.758, 1.028, 0.783, 4.333
 15,  04 , 0.624, 1.028, 0.591, 1.802, 0.698, 1.033, 0.622, 1.377, 0.816, 1.042, 0.786, 3.946, 0.806, 1.039, 0.809, 3.901
test05
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  05 , 0.909, 1.068, 0.709, 0.316, 0.877, 1.066, 0.694, 0.277, 0.926, 1.112, 0.732, 4.876, 0.926, 1.112, 0.732, 4.906
 02,  05 , 0.863, 1.064, 0.675, 0.429, 0.858, 1.055, 0.686, 0.438, 0.922, 1.111, 0.760, 5.149, 0.922, 1.111, 0.760, 5.141
 03,  05 , 0.889, 1.064, 0.712, 0.446, 0.938, 1.068, 0.780, 0.571, 0.923, 1.113, 0.757, 5.605, 0.923, 1.113, 0.757, 5.660
 04,  05 , 0.914, 1.065, 0.707, 0.595, 0.943, 1.069, 0.784, 0.513, 0.924, 1.114, 0.755, 6.145, 0.924, 1.114, 0.755, 6.115
 05,  05 , 0.913, 1.064, 0.722, 0.603, 0.906, 1.063, 0.737, 0.487, 0.927, 1.114, 0.752, 6.797, 0.927, 1.114, 0.752, 6.836
