test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  01 , 0.889, 1.065, 0.678, 0.416, 0.866, 1.065, 0.656, 0.321, 0.990, 1.107, 0.754, 5.026, 0.990, 1.107, 0.754, 5.035
 02,  01 , 0.967, 1.067, 0.744, 0.463, 0.848, 1.054, 0.680, 0.495, 0.994, 1.109, 0.760, 5.226, 0.994, 1.109, 0.760, 5.267
 03,  01 , 0.915, 1.063, 0.727, 0.452, 0.801, 1.051, 0.640, 0.340, 0.960, 1.107, 0.741, 6.571, 0.960, 1.107, 0.741, 6.696
 04,  01 , 0.925, 1.062, 0.732, 0.498, 0.805, 1.049, 0.648, 0.451, 0.962, 1.106, 0.754, 6.296, 0.962, 1.106, 0.754, 6.431
 05,  01 , 0.897, 1.055, 0.698, 0.496, 0.790, 1.042, 0.639, 0.610, 0.961, 1.107, 0.750, 7.101, 0.961, 1.107, 0.750, 7.049
 06,  01 , 0.933, 1.060, 0.727, 0.753, 0.800, 1.044, 0.627, 0.762, 0.992, 1.055, 0.813, 2.140, 0.966, 1.060, 0.810, 2.558
 07,  01 , 0.943, 1.061, 0.737, 0.769, 0.866, 1.046, 0.675, 0.861, 0.999, 1.059, 0.809, 2.583, 0.968, 1.052, 0.805, 2.621
 08,  01 , 0.929, 1.058, 0.710, 0.649, 0.916, 1.051, 0.702, 0.837, 0.999, 1.056, 0.811, 2.740, 0.969, 1.056, 0.818, 2.721
 09,  01 , 0.910, 1.057, 0.691, 0.838, 0.901, 1.052, 0.684, 0.839, 0.999, 1.058, 0.814, 2.861, 0.970, 1.059, 0.813, 2.815
 10,  01 , 0.905, 1.055, 0.683, 0.847, 0.908, 1.054, 0.679, 0.983, 1.000, 1.062, 0.804, 3.057, 0.971, 1.059, 0.801, 3.080
 11,  01 , 0.901, 1.055, 0.673, 0.968, 0.901, 1.049, 0.689, 0.979, 0.991, 1.052, 0.811, 3.213, 0.972, 1.050, 0.816, 3.142
 12,  01 , 0.898, 1.055, 0.675, 1.120, 0.874, 1.047, 0.673, 1.160, 0.991, 1.058, 0.797, 3.436, 0.972, 1.055, 0.802, 3.391
 13,  01 , 0.901, 1.054, 0.684, 1.123, 0.892, 1.047, 0.683, 1.167, 0.991, 1.056, 0.796, 3.662, 0.973, 1.058, 0.828, 3.490
 14,  01 , 0.895, 1.054, 0.673, 1.254, 0.905, 1.050, 0.695, 1.182, 0.992, 1.059, 0.798, 3.766, 0.975, 1.054, 0.806, 3.678
 15,  01 , 0.901, 1.056, 0.668, 1.410, 0.898, 1.048, 0.684, 1.305, 0.992, 1.055, 0.802, 3.959, 0.967, 1.052, 0.797, 4.005
test02
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  02 , 0.858, 1.090, 0.680, 0.287, 0.856, 1.089, 0.670, 0.347, 0.923, 1.127, 0.716, 5.226, 0.923, 1.127, 0.716, 5.215
 02,  02 , 0.882, 1.081, 0.717, 0.433, 0.864, 1.085, 0.692, 0.488, 0.925, 1.127, 0.719, 5.640, 0.925, 1.127, 0.719, 5.603
 03,  02 , 0.886, 1.083, 0.719, 0.412, 0.838, 1.077, 0.658, 0.508, 0.926, 1.126, 0.720, 6.429, 0.926, 1.126, 0.720, 6.436
 04,  02 , 0.891, 1.084, 0.709, 0.589, 0.835, 1.076, 0.657, 0.450, 0.937, 1.127, 0.718, 6.791, 0.937, 1.127, 0.718, 6.800
 05,  02 , 0.864, 1.080, 0.685, 0.598, 0.836, 1.074, 0.669, 0.538, 0.933, 1.127, 0.715, 7.628, 0.933, 1.127, 0.715, 7.630
 06,  02 , 0.798, 1.075, 0.635, 0.685, 0.801, 1.069, 0.628, 0.555, 0.926, 1.076, 0.764, 2.661, 0.934, 1.066, 0.776, 2.690
 07,  02 , 0.791, 1.073, 0.599, 0.688, 0.834, 1.071, 0.638, 0.718, 0.954, 1.069, 0.805, 2.711, 0.958, 1.068, 0.792, 2.645
 08,  02 , 0.811, 1.073, 0.620, 0.811, 0.851, 1.074, 0.662, 0.777, 0.952, 1.068, 0.804, 2.759, 0.961, 1.067, 0.801, 2.892
 09,  02 , 0.809, 1.071, 0.612, 0.916, 0.813, 1.072, 0.620, 0.863, 0.924, 1.064, 0.784, 3.016, 0.956, 1.071, 0.807, 2.882
 10,  02 , 0.783, 1.070, 0.588, 0.839, 0.801, 1.068, 0.606, 0.836, 0.933, 1.070, 0.793, 3.141, 0.972, 1.061, 0.808, 3.017
 11,  02 , 0.781, 1.066, 0.595, 0.920, 0.831, 1.073, 0.619, 0.903, 0.948, 1.067, 0.774, 3.337, 0.963, 1.068, 0.810, 3.312
 12,  02 , 0.811, 1.069, 0.626, 1.161, 0.813, 1.072, 0.617, 1.181, 0.810, 1.052, 0.768, 3.640, 0.969, 1.074, 0.795, 3.451
 13,  02 , 0.771, 1.068, 0.594, 1.074, 0.800, 1.073, 0.599, 0.968, 0.908, 1.059, 0.763, 3.889, 0.968, 1.073, 0.799, 3.565
 14,  02 , 0.809, 1.072, 0.604, 1.132, 0.794, 1.069, 0.589, 1.346, 0.919, 1.069, 0.758, 4.118, 0.954, 1.069, 0.779, 3.833
 15,  02 , 0.819, 1.074, 0.609, 1.219, 0.780, 1.067, 0.585, 1.432, 0.926, 1.067, 0.755, 4.275, 0.971, 1.062, 0.810, 3.976
test03
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  03 , 0.694, 1.046, 0.561, 0.313, 0.724, 1.052, 0.592, 0.395, 0.850, 1.113, 0.664, 5.506, 0.850, 1.113, 0.664, 5.471
 02,  03 , 0.690, 1.040, 0.600, 0.448, 0.736, 1.047, 0.620, 0.474, 0.816, 1.112, 0.656, 5.733, 0.816, 1.112, 0.656, 5.687
 03,  03 , 0.714, 1.039, 0.627, 0.525, 0.690, 1.039, 0.613, 0.413, 0.869, 1.109, 0.698, 6.439, 0.869, 1.109, 0.698, 6.208
 04,  03 , 0.692, 1.037, 0.607, 0.646, 0.660, 1.034, 0.648, 0.587, 0.871, 1.110, 0.704, 6.712, 0.871, 1.110, 0.704, 6.658
 05,  03 , 0.683, 1.031, 0.617, 0.490, 0.659, 1.031, 0.653, 0.611, 0.875, 1.111, 0.719, 7.290, 0.875, 1.111, 0.719, 7.301
 06,  03 , 0.680, 1.031, 0.625, 0.709, 0.629, 1.026, 0.638, 0.592, 0.875, 1.052, 0.787, 2.577, 0.839, 1.046, 0.761, 2.055
 07,  03 , 0.716, 1.041, 0.651, 0.775, 0.649, 1.025, 0.647, 0.768, 0.885, 1.051, 0.814, 2.650, 0.848, 1.051, 0.815, 2.641
 08,  03 , 0.679, 1.035, 0.618, 0.911, 0.664, 1.030, 0.595, 0.901, 0.940, 1.050, 0.837, 2.760, 0.804, 1.043, 0.778, 2.755
 09,  03 , 0.710, 1.035, 0.646, 0.901, 0.682, 1.032, 0.628, 0.976, 0.937, 1.047, 0.798, 2.917, 0.807, 1.043, 0.800, 2.942
 10,  03 , 0.685, 1.036, 0.637, 0.998, 0.736, 1.030, 0.631, 1.069, 0.936, 1.056, 0.796, 3.113, 0.813, 1.046, 0.800, 3.011
 11,  03 , 0.704, 1.039, 0.602, 1.068, 0.768, 1.040, 0.619, 1.045, 0.941, 1.049, 0.798, 3.276, 0.817, 1.051, 0.798, 3.206
 12,  03 , 0.711, 1.041, 0.656, 1.235, 0.757, 1.044, 0.594, 1.162, 0.909, 1.061, 0.770, 3.483, 0.799, 1.047, 0.772, 3.459
 13,  03 , 0.703, 1.040, 0.621, 1.325, 0.741, 1.042, 0.569, 1.346, 0.916, 1.055, 0.796, 3.664, 0.756, 1.042, 0.775, 3.671
 14,  03 , 0.793, 1.050, 0.676, 1.326, 0.825, 1.054, 0.645, 1.438, 0.923, 1.059, 0.795, 3.911, 0.758, 1.031, 0.796, 3.787
 15,  03 , 0.747, 1.046, 0.645, 1.328, 0.816, 1.050, 0.659, 1.526, 0.922, 1.054, 0.793, 4.056, 0.723, 1.040, 0.785, 4.053
test04
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  04 , 0.718, 1.052, 0.596, 0.284, 0.716, 1.056, 0.582, 0.313, 0.831, 1.115, 0.635, 5.698, 0.831, 1.115, 0.635, 5.663
 02,  04 , 0.705, 1.038, 0.612, 0.379, 0.722, 1.051, 0.644, 0.414, 0.850, 1.114, 0.650, 6.184, 0.850, 1.114, 0.650, 6.101
 03,  04 , 0.703, 1.038, 0.606, 0.508, 0.673, 1.043, 0.615, 0.456, 0.873, 1.112, 0.662, 6.748, 0.873, 1.112, 0.662, 6.535
 04,  04 , 0.671, 1.036, 0.586, 0.497, 0.690, 1.040, 0.630, 0.500, 0.887, 1.111, 0.675, 7.275, 0.887, 1.111, 0.675, 7.289
 05,  04 , 0.651, 1.028, 0.583, 0.553, 0.654, 1.036, 0.608, 0.597, 0.900, 1.112, 0.686, 7.912, 0.900, 1.112, 0.686, 7.861
